Service_Type,Department,Current_Queue,Available_Staff,Emergency_Cases,Previous_Average_Wait,Day,Hour,Waiting_Time
Bank,Loan Department,102,6,2,14,Monday,16,57
Hospital,Emergency,101,6,6,51,Friday,17,63
Government Office,Customer Service,77,8,24,35,Saturday,9,77
Hospital,Customer Service,44,1,7,59,Tuesday,19,61
Bank,Cardiology,27,9,14,17,Saturday,19,29
Government Office,Loan Department,69,1,15,59,Monday,9,78
Bank,Loan Department,56,5,9,42,Saturday,12,63
Government Office,Cardiology,102,3,19,10,Monday,8,88
Bank,General,96,11,12,45,Wednesday,19,54
Hospital,Loan Department,61,6,1,12,Monday,9,21
Hospital,Loan Department,67,9,23,54,Saturday,17,79
Bank,Customer Service,17,9,24,56,Tuesday,16,62
Government Office,Loan Department,66,7,12,12,Thursday,19,38
Bank,General,57,13,16,51,Wednesday,20,42
Bank,Emergency,58,3,2,50,Monday,16,55
Hospital,Customer Service,22,12,16,27,Friday,15,43
Hospital,Loan Department,77,6,23,28,Friday,18,75
Hospital,Emergency,16,11,16,42,Monday,16,45
Hospital,Customer Service,12,10,24,51,Monday,19,58
Hospital,Customer Service,109,12,7,7,Tuesday,16,51
Hospital,Customer Service,86,14,2,21,Friday,12,38
Government Office,General,90,6,14,11,Saturday,10,56
Bank,Cardiology,52,9,19,41,Thursday,19,51
Government Office,General,9,7,5,26,Tuesday,11,5
Bank,Emergency,50,8,13,50,Monday,17,58
Bank,Cardiology,33,9,8,26,Saturday,8,20
Hospital,Customer Service,84,8,5,59,Friday,9,48
Bank,Loan Department,78,1,11,47,Thursday,8,68
Bank,Loan Department,21,4,22,11,Thursday,20,45
Hospital,Emergency,102,5,6,50,Saturday,13,84
Bank,Cardiology,58,12,13,14,Thursday,16,35
Hospital,General,82,13,5,36,Thursday,18,33
Hospital,Loan Department,115,8,4,7,Friday,14,58
Government Office,General,80,8,18,13,Wednesday,8,55
Government Office,Customer Service,82,12,17,46,Tuesday,19,59
Bank,General,93,13,21,27,Tuesday,17,67
Government Office,Customer Service,101,5,1,40,Tuesday,11,57
Bank,Customer Service,115,13,8,6,Wednesday,16,65
Government Office,Emergency,84,11,11,29,Monday,10,48
Bank,Cardiology,98,3,9,23,Saturday,9,66
Bank,Customer Service,84,13,15,54,Saturday,17,61
Bank,General,93,11,6,25,Friday,20,36
Hospital,Emergency,61,2,5,45,Saturday,14,52
Government Office,General,78,10,18,32,Wednesday,14,83
Hospital,Emergency,14,2,2,57,Tuesday,11,25
Government Office,Cardiology,79,10,12,23,Tuesday,20,51
Government Office,Customer Service,106,8,12,8,Thursday,19,58
Hospital,General,18,12,3,48,Friday,12,21
Bank,General,87,10,0,27,Wednesday,13,38
Bank,Emergency,53,3,6,29,Thursday,20,42
Government Office,Emergency,10,3,20,16,Tuesday,9,38
Bank,Emergency,12,7,14,47,Saturday,8,33
Government Office,Loan Department,114,11,8,9,Wednesday,9,45
Bank,General,7,6,7,22,Wednesday,8,5
Bank,Cardiology,52,4,19,35,Wednesday,16,74
Hospital,Emergency,75,11,9,55,Monday,17,47
Bank,General,13,6,16,13,Saturday,11,31
Government Office,Cardiology,14,5,23,52,Tuesday,9,47
Hospital,Customer Service,63,11,5,10,Friday,10,23
Hospital,Cardiology,71,8,23,45,Thursday,18,76
Government Office,Customer Service,39,6,24,21,Tuesday,15,73
Bank,General,110,11,15,31,Friday,13,90
Government Office,Cardiology,22,11,21,59,Tuesday,15,61
Hospital,Loan Department,38,8,0,52,Tuesday,10,18
Hospital,General,22,3,23,5,Wednesday,13,66
Government Office,Customer Service,77,5,13,8,Saturday,11,51
Hospital,Cardiology,92,8,19,21,Friday,15,78
Hospital,Customer Service,47,10,18,29,Thursday,9,50
Bank,Cardiology,114,11,8,11,Thursday,16,71
Bank,Customer Service,40,10,9,38,Saturday,15,42
Bank,Emergency,59,11,9,54,Tuesday,15,48
Hospital,General,68,2,12,35,Saturday,9,57
Hospital,Emergency,98,4,14,44,Saturday,17,82
Government Office,Loan Department,89,9,19,39,Monday,18,78
Bank,Emergency,83,8,16,20,Monday,17,54
Government Office,Customer Service,23,14,8,7,Monday,10,5
Bank,Emergency,93,12,3,15,Friday,11,27
Bank,Cardiology,21,4,21,10,Tuesday,15,55
Government Office,General,18,11,11,50,Friday,14,37
Hospital,Customer Service,59,10,14,30,Wednesday,13,65
Bank,Emergency,34,8,22,13,Thursday,8,42
Bank,Loan Department,26,14,15,33,Monday,14,36
Government Office,Cardiology,84,2,9,11,Wednesday,9,62
Government Office,Customer Service,13,7,23,20,Tuesday,19,34
Bank,Emergency,103,1,22,12,Wednesday,17,79
Hospital,Cardiology,100,13,2,12,Thursday,17,29
Hospital,Cardiology,6,14,18,53,Friday,18,26
Bank,General,109,6,5,47,Tuesday,17,57
Government Office,Customer Service,35,14,22,16,Tuesday,9,37
Bank,Loan Department,22,13,14,20,Thursday,12,22
Hospital,General,16,1,0,26,Wednesday,11,10
Government Office,Customer Service,31,10,18,52,Monday,8,52
Bank,Customer Service,38,8,5,58,Friday,16,47
Bank,Loan Department,58,8,3,9,Friday,11,17
Hospital,Customer Service,74,13,3,49,Thursday,14,45
Hospital,Customer Service,44,7,4,7,Thursday,12,36
Bank,Emergency,85,13,22,17,Friday,18,57
Government Office,Loan Department,28,13,22,45,Thursday,19,35
Hospital,Cardiology,7,14,10,14,Saturday,18,5
Hospital,General,82,1,1,6,Thursday,20,30
Government Office,Customer Service,109,8,3,38,Tuesday,14,71
Bank,Loan Department,81,12,18,45,Wednesday,15,73
Hospital,Emergency,55,10,11,18,Monday,17,28
Bank,Customer Service,18,6,13,16,Saturday,13,40
Hospital,Loan Department,58,10,11,12,Saturday,18,39
Government Office,Cardiology,109,13,19,21,Wednesday,15,76
Hospital,General,21,7,0,56,Monday,10,11
Bank,Cardiology,102,11,13,37,Wednesday,20,64
Hospital,General,41,7,18,50,Saturday,20,52
Government Office,General,57,8,1,54,Monday,12,58
Bank,Loan Department,77,11,9,30,Saturday,19,46
Hospital,Emergency,62,13,16,52,Saturday,11,42
Hospital,Emergency,75,1,0,54,Tuesday,9,50
Bank,Emergency,32,3,5,49,Tuesday,13,50
Bank,General,11,8,3,5,Monday,14,9
Government Office,Cardiology,104,8,5,49,Monday,10,57
Bank,General,105,13,24,14,Wednesday,20,69
Hospital,Emergency,110,10,2,21,Tuesday,11,40
Hospital,Loan Department,97,1,17,45,Friday,16,108
Hospital,General,119,12,15,39,Thursday,9,60
Government Office,Emergency,81,3,9,58,Tuesday,12,84
Government Office,General,106,6,21,17,Tuesday,9,71
Government Office,General,107,13,14,16,Thursday,12,62
Bank,Customer Service,7,2,21,44,Monday,16,62
Hospital,Customer Service,72,2,24,30,Wednesday,9,79
Government Office,Customer Service,98,13,20,48,Tuesday,9,79
Government Office,Cardiology,48,7,0,6,Saturday,12,32
Bank,Loan Department,20,4,15,10,Monday,9,28
Hospital,Cardiology,112,7,9,41,Wednesday,20,62
Hospital,Cardiology,10,6,16,42,Monday,13,45
Hospital,Customer Service,41,7,16,53,Tuesday,8,54
Hospital,Customer Service,67,7,21,25,Tuesday,13,86
Government Office,General,65,14,15,7,Thursday,13,46
Government Office,Emergency,46,10,22,7,Wednesday,19,39
Government Office,Cardiology,71,9,4,11,Tuesday,8,24
Hospital,General,26,10,19,34,Tuesday,18,30
Hospital,General,87,14,24,59,Monday,8,76
Government Office,Customer Service,18,13,12,42,Thursday,8,19
Government Office,Loan Department,70,10,7,10,Tuesday,14,43
Hospital,General,42,11,2,52,Friday,13,41
Hospital,Emergency,28,6,1,51,Monday,12,35
Government Office,Emergency,96,1,1,20,Tuesday,11,46
Hospital,Loan Department,11,2,5,54,Saturday,11,24
Bank,Loan Department,97,4,13,9,Tuesday,16,76
Bank,Loan Department,107,8,14,23,Thursday,16,82
Government Office,Emergency,86,14,5,29,Saturday,11,24
Bank,General,5,8,0,5,Wednesday,9,5
Bank,Cardiology,95,10,17,16,Saturday,16,80
Bank,Emergency,117,1,7,46,Saturday,19,79
Bank,Emergency,61,2,2,38,Tuesday,16,58
Hospital,Emergency,35,7,11,58,Thursday,13,51
Hospital,Emergency,118,2,10,48,Monday,19,81
Hospital,Loan Department,63,11,23,42,Friday,12,82
Bank,Cardiology,13,12,9,50,Monday,11,15
Bank,Emergency,37,5,15,41,Wednesday,12,63
Government Office,General,57,2,9,51,Saturday,13,65
Hospital,Cardiology,15,10,18,49,Monday,15,47
Hospital,Customer Service,20,7,11,33,Saturday,10,24
Hospital,Cardiology,117,1,20,34,Monday,15,121
Hospital,Emergency,55,8,18,40,Monday,18,54
Government Office,Loan Department,59,3,3,52,Saturday,17,38
Bank,Emergency,61,1,5,39,Monday,19,43
Bank,Customer Service,60,4,7,24,Thursday,11,49
Government Office,Loan Department,102,7,9,27,Monday,17,59
Government Office,Loan Department,117,8,12,33,Monday,10,65
Bank,Emergency,14,7,9,28,Saturday,18,18
Government Office,Customer Service,18,3,12,38,Wednesday,8,37
Government Office,Customer Service,83,8,5,30,Monday,17,41
Hospital,Cardiology,36,11,21,38,Friday,16,61
Bank,Cardiology,41,2,11,8,Thursday,9,39
Government Office,Cardiology,31,3,4,10,Friday,18,26
Bank,Customer Service,114,4,19,59,Wednesday,16,111
Hospital,Cardiology,19,10,9,15,Tuesday,19,10
Bank,General,62,10,7,25,Wednesday,18,36
Hospital,Cardiology,76,1,5,17,Tuesday,12,55
Hospital,Customer Service,21,9,11,26,Tuesday,17,31
Government Office,General,56,10,11,58,Monday,10,42
Bank,Cardiology,7,2,7,14,Saturday,12,29
Government Office,General,68,10,10,13,Monday,16,51
Hospital,Emergency,89,1,11,15,Thursday,8,65
Bank,Emergency,50,11,10,11,Wednesday,8,19
Government Office,Emergency,51,10,7,46,Wednesday,11,30
Hospital,Cardiology,39,4,13,45,Saturday,10,54
Bank,Customer Service,76,11,7,48,Wednesday,13,68
Government Office,Cardiology,67,7,3,52,Friday,17,42
Hospital,Loan Department,117,1,24,28,Tuesday,13,120
Government Office,Loan Department,81,1,13,38,Wednesday,13,85
Hospital,Customer Service,6,12,1,26,Tuesday,10,5
Bank,Loan Department,8,1,5,43,Wednesday,14,38
Bank,General,35,14,3,30,Monday,19,8
Government Office,Loan Department,9,3,9,22,Friday,19,14
Hospital,Customer Service,41,8,21,26,Friday,12,69
Government Office,General,56,1,18,49,Thursday,13,87
Bank,General,25,10,16,9,Friday,13,36
Government Office,Emergency,21,4,21,11,Tuesday,9,41
Government Office,Customer Service,77,3,18,13,Saturday,18,67
Bank,Loan Department,99,4,16,52,Friday,14,101
Government Office,Customer Service,55,8,4,30,Saturday,12,38
Hospital,Loan Department,10,2,23,36,Wednesday,17,55
Hospital,Customer Service,106,2,23,9,Tuesday,13,106
Government Office,Cardiology,15,8,13,49,Monday,18,35
Hospital,General,89,7,4,42,Tuesday,10,49
Hospital,Cardiology,44,5,21,53,Monday,9,63
Bank,Loan Department,62,5,11,49,Thursday,9,57
Hospital,Emergency,8,10,0,47,Tuesday,8,6
Government Office,Emergency,55,14,17,24,Saturday,14,57
Government Office,Emergency,27,9,11,39,Saturday,14,41
Hospital,General,91,10,4,27,Wednesday,14,51
Hospital,Loan Department,32,14,18,53,Tuesday,14,63
Hospital,General,89,10,18,54,Friday,15,87
Bank,Customer Service,40,10,0,40,Tuesday,10,18
Hospital,Customer Service,104,14,13,25,Saturday,18,48
Hospital,General,13,2,24,30,Wednesday,13,72
Government Office,General,67,6,3,52,Wednesday,16,57
Bank,Customer Service,20,5,23,26,Saturday,9,41
Government Office,Customer Service,85,7,17,49,Thursday,9,68
Government Office,Emergency,78,1,1,53,Monday,11,54
Government Office,Customer Service,34,4,9,11,Wednesday,19,30
Government Office,Customer Service,54,6,5,11,Friday,17,32
Government Office,Cardiology,6,5,0,15,Wednesday,18,5
Bank,Customer Service,84,6,2,56,Friday,9,52
Hospital,Customer Service,30,5,0,15,Friday,20,8
Hospital,Emergency,45,5,1,17,Friday,12,28
Hospital,Customer Service,18,5,23,46,Friday,19,55
Government Office,Cardiology,70,4,11,15,Saturday,11,43
Hospital,Emergency,10,10,21,57,Friday,18,49
Hospital,Emergency,37,13,20,58,Friday,13,61
Hospital,Cardiology,50,4,21,56,Monday,13,91
Bank,Emergency,108,11,14,35,Friday,19,53
Bank,Cardiology,60,1,5,29,Saturday,13,62
Hospital,Customer Service,62,10,17,15,Saturday,20,44
Hospital,Customer Service,5,7,3,36,Wednesday,13,10
Hospital,Cardiology,19,6,24,53,Tuesday,16,70
Government Office,General,77,14,2,37,Saturday,11,22
Bank,General,47,1,11,13,Monday,18,46
Government Office,Cardiology,96,13,23,49,Friday,20,78
Government Office,Customer Service,78,10,21,43,Wednesday,18,66
Government Office,General,78,10,24,57,Saturday,17,77
Government Office,Emergency,32,13,14,10,Thursday,15,30
Bank,General,106,1,1,59,Friday,18,63
Hospital,Customer Service,73,11,9,21,Tuesday,11,40
Hospital,General,34,3,18,41,Thursday,11,60
Bank,General,108,5,11,18,Tuesday,10,69
Bank,General,11,8,6,34,Monday,19,24
Bank,Customer Service,92,6,18,8,Friday,9,66
Hospital,Emergency,63,10,5,30,Saturday,10,34
Government Office,General,55,6,10,56,Thursday,19,40
Government Office,General,118,14,3,16,Saturday,18,30
Hospital,Customer Service,27,5,7,43,Saturday,11,29
Government Office,Customer Service,21,10,2,25,Saturday,16,18
Bank,Loan Department,76,14,6,20,Saturday,16,44
Government Office,Emergency,50,5,12,8,Saturday,11,32
Bank,Customer Service,99,4,10,54,Friday,11,70
Government Office,General,101,6,3,22,Friday,19,47
Government Office,General,43,6,14,51,Wednesday,10,43
Government Office,Loan Department,17,7,23,25,Saturday,8,46
Bank,General,47,4,6,16,Tuesday,20,30
Bank,Loan Department,18,3,15,35,Friday,13,59
Hospital,Emergency,105,9,23,39,Wednesday,11,83
Government Office,Customer Service,34,12,22,11,Thursday,17,29
Hospital,Cardiology,87,7,11,26,Wednesday,9,46
Government Office,Cardiology,58,12,19,36,Saturday,15,62
Hospital,Emergency,46,9,22,9,Tuesday,20,47
Hospital,Cardiology,61,11,24,46,Tuesday,14,70
Hospital,Cardiology,11,5,14,55,Monday,12,54
Hospital,Emergency,26,2,2,17,Friday,18,14
Government Office,Emergency,64,10,14,42,Friday,18,51
Bank,Emergency,108,6,2,18,Thursday,18,43
Hospital,Customer Service,65,6,0,50,Wednesday,9,32
Bank,Cardiology,102,11,13,41,Tuesday,16,74
Government Office,General,75,9,13,52,Friday,16,74
Bank,Loan Department,89,6,16,5,Monday,17,68
Government Office,Emergency,63,14,3,31,Tuesday,9,10
Bank,Customer Service,40,5,8,32,Saturday,20,26
Government Office,Emergency,40,8,2,49,Monday,10,30
Bank,Cardiology,37,7,22,10,Saturday,17,52
Government Office,Emergency,71,3,15,46,Tuesday,13,95
Bank,Emergency,96,11,9,43,Friday,20,58
Bank,Cardiology,42,8,0,21,Tuesday,15,16
Bank,Emergency,96,9,10,56,Thursday,20,67
Bank,Loan Department,35,5,12,59,Thursday,16,67
Hospital,Emergency,50,6,8,29,Tuesday,15,49
Hospital,Cardiology,85,6,3,40,Tuesday,15,57
Government Office,General,34,10,2,56,Wednesday,8,16
Bank,General,58,1,0,22,Friday,11,33
Hospital,Emergency,93,7,20,26,Saturday,18,74
Bank,Customer Service,29,1,24,58,Tuesday,17,74
Government Office,Loan Department,20,1,22,35,Tuesday,12,76
Government Office,Emergency,44,11,20,6,Tuesday,20,30
Government Office,Customer Service,8,11,8,40,Monday,16,27
Hospital,General,67,11,2,22,Friday,10,21
Government Office,General,28,2,1,6,Monday,18,17
Hospital,Emergency,27,6,11,47,Thursday,17,40
Bank,Loan Department,106,2,1,20,Monday,14,75
Government Office,Customer Service,108,14,6,37,Monday,9,46
Government Office,General,22,4,16,15,Thursday,14,51
Bank,Loan Department,24,11,14,50,Wednesday,18,41
Bank,Loan Department,110,12,15,39,Friday,19,66
Hospital,Loan Department,95,6,21,28,Wednesday,15,104
Hospital,Emergency,18,9,3,40,Tuesday,8,8
Hospital,Cardiology,7,5,0,58,Thursday,16,36
Government Office,Cardiology,14,2,15,44,Friday,19,48
Hospital,Emergency,19,11,11,38,Friday,20,19
Government Office,Emergency,119,1,15,15,Tuesday,13,100
Bank,Customer Service,40,2,22,30,Wednesday,13,83
Hospital,Customer Service,58,6,24,38,Thursday,12,90
Hospital,Emergency,26,9,19,33,Monday,19,38
Bank,General,59,1,4,56,Thursday,13,70
Government Office,General,17,10,14,19,Monday,20,26
Government Office,Cardiology,17,11,3,51,Friday,18,23
Government Office,Cardiology,93,11,17,52,Friday,13,85
Bank,General,111,3,10,14,Friday,13,83
Bank,Customer Service,83,13,22,44,Wednesday,14,86
Government Office,Cardiology,55,9,14,36,Wednesday,20,44
Bank,General,108,8,13,9,Tuesday,13,81
Hospital,General,32,13,17,46,Friday,9,36
Hospital,General,54,3,1,8,Wednesday,8,20
Government Office,Customer Service,38,7,14,23,Thursday,19,38
Government Office,Loan Department,60,4,13,40,Saturday,17,48
Bank,Customer Service,75,10,10,22,Saturday,8,33
Bank,Emergency,114,14,5,35,Wednesday,19,45
Government Office,Customer Service,64,12,3,56,Wednesday,8,24
Government Office,Loan Department,28,10,6,14,Thursday,20,6
Hospital,Customer Service,45,6,17,21,Wednesday,9,45
Hospital,Customer Service,69,1,3,40,Tuesday,18,64
Government Office,Cardiology,32,1,2,55,Friday,19,31
Hospital,Loan Department,118,6,19,10,Monday,15,94
Government Office,General,53,3,16,58,Wednesday,16,90
Government Office,Emergency,36,3,13,53,Wednesday,19,53
Bank,Loan Department,92,14,1,12,Saturday,19,12
Bank,General,25,8,15,14,Friday,19,28
Hospital,General,100,14,10,42,Friday,11,45
Government Office,Customer Service,45,9,2,59,Monday,11,32
Bank,General,112,5,9,32,Thursday,12,78
Hospital,Customer Service,17,14,7,12,Monday,14,6
Hospital,Cardiology,69,1,23,52,Wednesday,10,81
Hospital,Cardiology,93,2,24,18,Monday,8,83
Government Office,Emergency,107,9,5,41,Thursday,13,75
Government Office,Cardiology,22,8,16,31,Thursday,9,30
Hospital,Cardiology,116,12,14,19,Tuesday,14,76
Government Office,Cardiology,70,3,18,24,Saturday,18,64
Bank,General,51,12,6,43,Tuesday,8,27
Bank,Cardiology,88,13,10,53,Monday,18,38
Bank,Cardiology,91,14,6,14,Wednesday,9,35
Hospital,Emergency,51,12,9,35,Wednesday,12,45
Hospital,General,12,2,16,27,Wednesday,18,44
Bank,Emergency,57,12,12,33,Tuesday,13,56
Bank,Customer Service,22,2,24,53,Friday,20,59
Government Office,General,49,13,2,33,Monday,13,27
Bank,Emergency,100,11,10,50,Wednesday,18,60
Government Office,General,107,5,15,15,Monday,9,73
Bank,Loan Department,91,7,1,52,Monday,17,52
Government Office,Emergency,14,2,11,12,Friday,8,24
Hospital,General,92,3,5,6,Tuesday,11,43
Hospital,Customer Service,21,9,3,26,Saturday,10,5
Government Office,Customer Service,6,5,1,31,Saturday,18,5
Bank,Customer Service,75,6,3,18,Monday,12,47
Bank,Cardiology,69,3,22,52,Monday,16,87
Bank,Emergency,65,5,22,51,Wednesday,16,94
Bank,Emergency,108,12,14,19,Friday,9,58
Bank,Emergency,38,12,2,43,Monday,8,8
Hospital,Loan Department,34,4,14,43,Monday,12,64
Government Office,Cardiology,113,10,22,6,Thursday,10,74
Hospital,Cardiology,48,3,18,25,Tuesday,13,81
Bank,General,74,2,23,49,Tuesday,10,90
Government Office,Cardiology,18,3,10,18,Wednesday,20,21
Hospital,Emergency,88,12,1,20,Tuesday,17,19
Government Office,Cardiology,115,1,12,11,Monday,9,70
Bank,Cardiology,39,4,17,43,Saturday,8,54
Government Office,Loan Department,84,8,9,27,Saturday,19,44
Bank,Loan Department,118,7,10,54,Thursday,11,67
Bank,General,43,12,19,40,Monday,14,64
Hospital,General,57,2,8,14,Friday,17,43
Bank,Loan Department,61,1,6,8,Saturday,10,40
Government Office,Loan Department,52,14,9,19,Friday,14,30
Hospital,Cardiology,104,11,21,26,Monday,15,85
Bank,Emergency,113,2,19,10,Monday,8,81
Hospital,General,57,4,4,9,Monday,20,33
Government Office,Customer Service,44,10,6,16,Tuesday,17,21
Government Office,Loan Department,51,1,21,58,Friday,20,76
Hospital,Loan Department,31,8,5,15,Thursday,9,14
Government Office,Cardiology,75,6,14,57,Friday,12,86
Bank,Cardiology,72,3,12,37,Thursday,13,75
Bank,Cardiology,112,2,8,12,Tuesday,15,78
Hospital,Customer Service,109,4,24,38,Thursday,19,96
Government Office,Customer Service,44,7,23,48,Saturday,17,64
Government Office,Cardiology,66,9,11,52,Friday,8,52
Government Office,Emergency,113,2,19,11,Thursday,13,100
Bank,Cardiology,66,9,2,33,Saturday,8,24
Government Office,Emergency,39,4,4,5,Thursday,20,16
Bank,Emergency,46,13,9,17,Wednesday,16,36
Bank,Customer Service,72,14,16,32,Monday,16,65
Bank,General,81,9,2,41,Tuesday,12,52
Government Office,Customer Service,86,2,24,27,Tuesday,8,88
Government Office,Loan Department,54,9,18,46,Monday,15,65
Government Office,Emergency,113,12,10,52,Friday,16,80
Bank,Emergency,43,12,2,52,Saturday,11,18
Hospital,Loan Department,88,10,18,28,Wednesday,17,64
Government Office,Customer Service,86,11,8,23,Wednesday,18,35
Hospital,Customer Service,99,3,2,44,Tuesday,17,57
Hospital,Customer Service,33,6,19,5,Saturday,20,41
Bank,Emergency,11,11,10,40,Monday,10,12
Hospital,Customer Service,67,5,23,34,Thursday,11,67
Hospital,Loan Department,101,4,21,26,Friday,12,102
Hospital,Loan Department,65,5,4,58,Wednesday,16,70
Bank,General,84,11,20,7,Saturday,19,60
Hospital,Emergency,89,6,5,34,Monday,8,34
Hospital,Loan Department,6,8,6,31,Friday,10,10
Bank,Customer Service,113,6,14,16,Friday,15,79
Hospital,Customer Service,105,4,9,23,Saturday,17,69
Bank,General,34,14,24,28,Friday,9,40
Bank,General,55,5,6,11,Wednesday,10,30
Bank,Cardiology,14,1,10,59,Thursday,18,36
Bank,Emergency,6,3,18,23,Tuesday,20,29
Hospital,Loan Department,106,2,18,30,Thursday,9,81
Government Office,Emergency,96,3,10,12,Wednesday,13,78
Bank,Customer Service,54,1,18,55,Saturday,16,85
Bank,Loan Department,40,7,4,33,Wednesday,8,23
Hospital,General,82,10,19,6,Friday,13,66
Government Office,Loan Department,96,12,2,26,Monday,20,30
Hospital,Cardiology,5,14,4,25,Wednesday,14,5
Government Office,Customer Service,17,14,14,21,Thursday,8,17
Government Office,Customer Service,11,7,18,59,Thursday,19,39
Government Office,Loan Department,66,10,2,48,Monday,11,29
Hospital,Cardiology,32,12,16,42,Wednesday,14,50
Government Office,Cardiology,103,10,6,15,Wednesday,12,61
Government Office,General,105,11,7,17,Saturday,9,48
Bank,Customer Service,20,3,12,59,Monday,10,49
Hospital,Loan Department,27,4,10,54,Wednesday,13,46
Hospital,Cardiology,14,3,1,34,Tuesday,14,31
Bank,Customer Service,43,5,2,29,Friday,10,16
Hospital,Emergency,58,2,10,57,Thursday,14,84
Government Office,General,45,8,10,54,Friday,10,47
Hospital,Emergency,96,10,10,54,Monday,11,60
Government Office,Customer Service,65,3,6,43,Friday,14,55
Government Office,Emergency,20,8,2,56,Saturday,15,34
Government Office,Emergency,46,2,6,50,Tuesday,8,39
Bank,Customer Service,113,9,9,13,Saturday,14,66
Government Office,Cardiology,10,8,24,16,Friday,16,48
Bank,General,58,14,19,11,Friday,11,32
Government Office,Customer Service,108,14,7,6,Friday,15,43
Hospital,Customer Service,20,4,4,56,Monday,9,31
Bank,General,88,7,9,21,Friday,12,63
Government Office,General,85,12,14,30,Wednesday,20,45
Hospital,General,96,10,12,34,Thursday,19,61
Government Office,Emergency,68,5,6,58,Wednesday,13,65
Bank,Emergency,80,7,1,5,Tuesday,19,25
Hospital,Customer Service,11,3,21,7,Friday,19,48
Hospital,Cardiology,14,13,10,9,Wednesday,20,5
Government Office,Customer Service,59,6,0,37,Thursday,15,40
Bank,Emergency,79,2,23,14,Monday,15,90
Government Office,Customer Service,20,8,11,35,Thursday,12,35
Hospital,Loan Department,34,5,0,55,Saturday,13,44
Hospital,Emergency,67,1,17,16,Friday,12,85
Bank,General,77,12,19,13,Monday,12,63
Government Office,Loan Department,50,7,3,41,Monday,17,42
Bank,General,116,3,16,17,Monday,11,73
Government Office,Customer Service,85,5,5,14,Saturday,18,38
Government Office,Customer Service,101,14,20,46,Saturday,12,81
Government Office,Customer Service,8,7,13,50,Tuesday,18,24
Bank,General,38,1,20,26,Monday,9,63
Government Office,Customer Service,96,7,21,10,Friday,19,70
Bank,General,46,2,6,57,Tuesday,16,65
Hospital,Cardiology,11,1,18,16,Saturday,9,48
Bank,Customer Service,31,14,1,25,Saturday,16,6
Hospital,Customer Service,53,2,16,23,Wednesday,13,72
Hospital,Loan Department,92,4,5,16,Friday,15,68
Bank,Cardiology,102,3,23,46,Tuesday,18,102
Government Office,Cardiology,65,14,2,29,Friday,16,30
Hospital,General,12,5,10,46,Wednesday,19,25
Bank,Cardiology,95,7,8,48,Saturday,10,60
Bank,General,65,14,3,22,Wednesday,14,33
Bank,Loan Department,100,2,11,55,Wednesday,17,76
Hospital,Customer Service,82,2,8,48,Monday,13,85
Bank,Loan Department,102,3,6,43,Saturday,12,68
Bank,Emergency,36,14,18,28,Tuesday,10,28
Hospital,General,60,1,23,22,Saturday,15,78
Bank,Emergency,68,4,22,26,Monday,9,59
Bank,Customer Service,37,8,22,24,Thursday,14,59
Government Office,Customer Service,76,10,0,25,Monday,14,38
Bank,Customer Service,100,5,13,50,Thursday,16,91
Government Office,Cardiology,116,9,19,52,Tuesday,20,98
Bank,Cardiology,44,7,10,25,Saturday,11,39
Bank,General,50,13,10,39,Monday,17,25
Bank,Customer Service,96,3,1,57,Saturday,15,65
Government Office,Emergency,51,3,0,19,Saturday,13,43
Hospital,Loan Department,90,2,17,37,Saturday,11,87
Government Office,Cardiology,44,6,19,22,Monday,16,63
Bank,Cardiology,91,12,3,7,Thursday,15,46
Government Office,Customer Service,86,7,10,7,Friday,8,43
Bank,General,21,2,13,11,Friday,20,40
Hospital,General,16,8,15,45,Friday,19,43
Government Office,General,50,8,23,33,Thursday,9,60
Bank,General,54,2,4,47,Saturday,12,55
Government Office,General,103,1,24,54,Wednesday,20,114
Government Office,Cardiology,88,2,6,51,Thursday,9,60
Hospital,Emergency,78,1,10,38,Thursday,19,68
Bank,Cardiology,117,1,16,52,Friday,19,102
Bank,General,29,8,22,19,Thursday,11,45
Hospital,Cardiology,116,6,10,36,Saturday,20,60
Hospital,Cardiology,42,10,19,21,Thursday,20,35
Government Office,Loan Department,99,6,1,17,Wednesday,9,33
Government Office,Emergency,56,11,20,6,Monday,17,42
Government Office,General,85,9,9,9,Monday,11,46
Bank,General,119,4,19,52,Wednesday,15,116
Bank,Loan Department,87,8,3,13,Monday,11,38
Hospital,Cardiology,5,4,18,39,Saturday,8,40
Bank,Customer Service,78,2,23,5,Friday,17,70
Bank,Emergency,103,2,8,20,Tuesday,15,74
Hospital,Cardiology,56,7,15,11,Tuesday,20,48
Bank,Loan Department,93,6,15,17,Thursday,18,66
Government Office,Emergency,77,5,6,37,Friday,17,46
Government Office,General,96,10,3,20,Saturday,11,38
Hospital,General,59,3,24,12,Thursday,17,70
Bank,Emergency,65,2,17,16,Saturday,8,60
Government Office,General,15,13,2,31,Friday,19,5
Bank,Customer Service,108,3,16,29,Wednesday,16,104
Hospital,Loan Department,113,6,5,18,Thursday,10,50
Government Office,General,46,4,15,22,Thursday,18,48
Government Office,Customer Service,105,13,5,43,Tuesday,17,43
Bank,Customer Service,116,9,11,48,Tuesday,18,81
Bank,Emergency,20,13,5,33,Wednesday,12,23
Government Office,Cardiology,41,5,22,20,Thursday,16,68
Bank,Customer Service,14,12,13,22,Saturday,17,13
